Start Time		End Time 		Reason
2001-07-26/06:00:00	2001-07-27/17:00:00
2001-07-26/20:00:00	2001-07-27/24:00:00
2001-08-15/13:00:00	2001-08-15/24:00:00	hia faulse identification
2001-08-24/18:00:00	2001-08-24/22:00:00
2001-08-31/18:00:00	2001-08-31/20:00:00	hia faulse identification
2002-08-07/14:00:00	2002-08-07/23:00:00     
2002-08-08/14:00:00	2002-08-08/18:00:00     
2002-08-09/14:00:00	2002-08-10/03:30:00 
2002-08-10/06:00:00	2002-08-10/09:00:00 
2002-08-10/06:00:00	2002-08-10/09:00:00 
2002-08-11/00:00:00	2002-08-11/06:00:00 	there was actually O+ beam
2002-08-12/01:00:00	2002-08-12/03:00:00 
2002-08-12/12:00:00	2002-08-12/13:00:00 
2002-08-14/13:30:00	2002-08-14/16:00:00 
2002-08-14/18:00:00	2002-08-14/20:00:00 
2002-08-30/10:00:00	2002-08-30/12:00:00
2002-09-02/16:00:00	2002-09-03/02:00:00
2002-09-05/05:30:00	2002-09-03/06:00:00
2002-09-05/09:30:00	2002-09-05/11:00:00
2002-09-07/12:00:00	2002-09-07/15:00:00
2002-09-14/13:00:00	2002-09-14/18:00:00
2002-09-30/02:00:00	2002-09-14/18:05:00
2002-10-04/22:00:00	2002-10-04/24:00:00
2002-10-22/10:00:00	2002-10-23/11:00:00
2002-10-23/18:00:00	2002-10-23/22:00:00
2003-07-04/17:00:00	2003-07-04/18:00:00 
2003-08-01/22:00:00	2003-08-01/23:00:00
2003-08-04/07:00:00	2003-08-04/08:00:00
2003-08-25/18:00:00	2003-08-25/24:00:00 
2003-08-27/17:00:00	2003-08-27/18:00:00
2003-08-28/01:30:00	2003-08-28/02:00:00
2003-08-31/12:00:00	2003-08-31/14:00:00
2003-09-04/04:00:00	2003-09-04/06:00:00
2003-09-06/17:00:00	2003-09-06/18:00:00
2003-09-09/16:30:00	2003-09-10/01:00:00
2003-09-10/07:00:00	2003-09-10/07:40:00
2003-09-10/08:50:00	2003-09-10/09:30:00
2003-09-11/10:00:00	2003-09-11/15:00:00
2003-09-13/05:00:00	2003-09-14/04:00:00
2003-09-15/01:10:00	2003-09-15/22:30:00
2003-09-17/16:00:00	2003-09-17/18:00:00
2003-09-18/05:00:00	2003-09-18/06:00:00
2003-09-18/11:00:00	2003-09-18/12:30:00
2003-09-18/13:50:00	2003-09-18/15:50:00
2003-09-20/12:00:00	2003-09-20/23:00:00
2003-09-21/22:00:00	2003-09-21/23:00:00
2003-09-27/12:00:00	2003-09-27/24:00:00
2003-09-29/14:00:00	2003-09-29/15:00:00
2003-10-01/08:30:00	2003-10-01/12:00:00
2003-10-07/09:00:00	2003-10-07/12:30:00
2003-10-11/00:00:00	2003-10-11/01:00:00
2003-10-11/20:00:00	2003-10-12/00:00:00
2003-10-18/00:00:00	2003-10-18/02:00:00
2004-09-03/10:00:00	2004-09-04/06:00:00
2004-09-10/22:00:00	2004-09-10/24:00:00
2005-09-18/04:00:00	2005-09-18/06:00:00
