YEAR DAY  HH MM SS   DIST   DENS     Vpar    Tpar   Tperp     T      Emean     Apex	sc
2001 211  17  1 32   4.82  0.0588    110.0   869.7  1576.4  1340.8   3060.9    43.1	1
2001 211  17  2 28   4.83  0.0906     97.8   455.1   748.7   650.8   1774.6    40.5	1
2001 211  17  3 25   4.85  0.1200    108.5   275.6   723.9   574.5   1843.0    38.5	1
2001 211  17  4 21   4.86  0.1107    106.4   418.4   548.2   505.0   1706.0    34.1	1
2001 211  17  5 17   4.87  0.0890    103.0   122.5   303.8   243.4   1251.0    29.3	1
2001 211  17 37 28   4.63  0.0544     52.7   404.0   306.7   339.2    744.1    40.4	3
2001 211  17 38 24   4.64  0.0647     51.3   271.8   221.8   238.5    578.1    37.2	3
2001 211  17 39 20   4.65  0.1002     43.2    78.5   113.3   101.7    310.9    36.3	3
2001 211  17 40 16   4.66  0.0978     41.4   119.7    66.6    84.3    270.4    30.0	3
2001 211  16 59 31   4.58  0.0159    122.1  3523.5  1338.4  2066.8   4726.8    35.0	4
2001 211  17  0 27   4.59  0.1162    110.5   593.9   376.1   448.7   1696.3    27.8	4
2001 211  17  1 23   4.61  0.1127     95.4   413.3   310.4   344.7   1295.3    29.7	4
2001 211  17  2 19   4.62  0.1280     63.2   111.7    76.3    88.1    472.7    22.7	4
2001 218  20 40 33   5.04  0.0099    185.5  4817.9  4624.9  4689.2  10009.0    41.7	1
2001 218  20 41 34   5.05  0.0243    144.4  3928.8  2090.8  2703.5   5795.2    36.5	1
2001 218  20 42 34   5.06  0.0254    148.1  3262.5  2020.1  2434.2   5489.5    37.0	1
2001 218  20 43 38   5.08  0.0264    162.7  4358.2  2540.3  3146.2   6950.3    37.6	1
2001 218  20 44 39   5.09  0.0081    193.1  3329.5  4117.1  3854.6   8904.3    42.0	1
2001 218  20 45 35   5.11  0.0072    178.5  1581.5  2940.2  2487.3   6422.1    43.2	1
2001 218  21 24 31   4.94  0.1571     86.0   701.5   721.6   714.9   1689.3    40.6	3
2001 218  21 25  7   4.96  0.0870     90.0   794.4   736.4   755.7   1811.9    39.1	3
2001 218  21 25 39   4.96  0.0980     87.1   616.2   660.7   645.9   1605.3    39.0	3
2001 218  21 26 12   4.97  0.1015     93.0   706.6   884.0   824.9   1958.4    42.1	3
2001 218  21 26 44   4.97  0.1089     98.0   682.3  1036.7   918.6   2180.3    43.5	3
2001 218  21 27 20   4.98  0.1253     92.7   657.4   883.3   808.0   1929.5    42.5	3
2001 218  21 27 52   4.99  0.1753     90.1   654.8   702.4   686.5   1707.5    40.1	3
2001 218  21 28 28   5.00  0.1379     88.8   729.8   659.7   683.0   1681.8    38.9	3
2001 218  20 38 40   4.81  0.0722     84.8  1172.0   900.1   990.7   2088.7    40.5	4
2001 218  20 39 44   4.83  0.0931     89.8  1543.5  1244.3  1344.1   2692.0    42.9	4
2001 218  20 41  0   4.85  0.1171     93.7   874.5   777.2   809.6   1950.3    38.8	4
2001 218  20 42  4   4.87  0.1177     95.5   549.7   503.1   518.7   1540.0    34.7	4
2001 233   4 28 30   5.98  0.0948     62.6   384.8   119.5   207.9    639.9    25.5	1
2001 233   4 29 26   6.00  0.1135     71.6   406.2   161.9   243.3    800.1    26.7	1
2001 233   4 30 22   6.01  0.0875     97.4   615.1   263.1   380.4   1362.3    26.0	1
2001 233   4 31 19   6.03  0.0708     83.1   431.0   225.1   293.8   1028.0    28.7	1
2001 233   4 32 19   6.05  0.0725     65.1   344.7   111.0   188.9    639.8    24.5	1
2001 233   4 33 15   6.06  0.0499     63.5   550.2   162.2   291.5    780.0    26.7	1
2001 233   4 34 16   6.08  0.0620     72.2   490.7   205.7   300.7    891.2    28.2	1
2001 233   4 35 16   6.10  0.0607     74.7   546.7   247.8   347.4    991.4    30.1	1
2001 233   5  0 33   5.71  0.0514     72.4   294.4   233.9   254.1    826.8    30.1	3
2001 233   5  1 29   5.73  0.0595     79.0   462.8   191.7   282.1    947.5    26.5	3
2001 233   5  2 29   5.74  0.0416     85.3   425.4   251.4   309.4   1074.0    28.3	3
2001 233   5  3 25   5.76  0.0348     92.9   480.0   247.9   325.3   1220.1    26.7	3
2001 233   5  4 21   5.78  0.0187     96.2   774.6   253.3   427.1   1430.5    25.2	3
2001 233   4 34 33   5.98  0.0099     66.2   179.8    34.0    82.6    499.9    14.0	4
2001 233   4 35 33   6.00  0.0058     82.7   445.8    41.8   176.5    929.8    -12.	4
2001 233   4 36 29   6.01  0.0037     91.1   654.2    50.4   251.6   1084.4    -12.	4
2001 233   4 37 25   6.03  0.0062     71.9   255.8    49.5   118.3    633.1    15.3	4
2001 233   4 38 21   6.05  0.0172     58.2   251.8    96.7   148.4    525.9    21.5	4
2001 235  12 55 31   5.32  0.0218     72.6   317.2   175.2   222.5    777.1    26.1	1
2001 235  12 56 28   5.34  0.0355     76.1   235.6   147.5   176.8    750.9    25.2	1
2001 235  12 57 24   5.35  0.0499     74.1   243.5   109.7   154.3    689.8    23.3	1
2001 235  12 58 20   5.37  0.0390     62.3   104.3    78.2    86.9    455.7    23.3	1
2001 235  13 24 33   5.01  0.0230     68.6   772.2   154.8   360.6    951.3    23.2	3
2001 235  13 25 29   5.02  0.0527     71.8   326.5   189.8   235.4    786.1    28.6	3
2001 235  13 26 25   5.04  0.0680     74.9   256.2   156.5   189.7    753.5    26.9	3
2001 235  13 27 21   5.05  0.0545     82.1   177.7   143.6   154.9    799.9    24.2	3
2001 235  13 28 17   5.06  0.0631     93.8   325.0   104.5   178.0   1005.3    18.6	3
2001 235  12 47 30   5.02  0.0502     81.7   474.9   348.0   390.3   1147.2    32.8	4
2001 235  12 48 26   5.04  0.0705    108.9   355.3   306.4   322.7   1496.1    26.9	4
2001 235  12 49 23   5.05  0.0505     86.8   209.4   207.2   207.9    947.8    26.4	4
2001 235  12 50 19   5.07  0.0429     72.8   190.1   109.3   136.3    647.6    23.6	4
2001 235  12 51 15   5.08  0.0296     72.1   194.9    78.4   117.2    612.2    20.4	4
2001 237  21 55 37   5.22  0.2609     80.4  1131.5   709.5   850.1   1817.4    38.6	1
2001 237  21 56 34   5.23  0.3328     71.8   907.6   501.0   636.5   1384.6    36.9	1
2001 237  21 57 46   5.25  0.5138     97.8  1273.9   801.5   958.9   2243.0    36.7	1
2001 237  21 58 59   5.27  0.5077     71.2   676.0   585.8   615.9   1346.9    41.4	1
2001 237  21 59 55   5.28  0.5163     60.9   329.0   218.5   255.3    692.9    34.0	1
2001 237  22  0 51   5.29  0.3593     66.9   298.7   349.6   332.6    873.5    39.0	1
2001 237  22 32 30   5.02  0.3448     66.2   347.7   423.8   398.4    964.5    41.4	3
2001 237  22 33 30   5.03  0.2604     68.9   303.4   519.8   447.6   1068.0    44.0	3
2001 237  22 34 34   5.05  0.4074     67.2   382.2   472.2   442.2   1040.2    42.5	3
2001 237  22 35 31   5.06  0.4795     62.7   214.2   408.9   344.0    844.4    44.1	3
2001 237  21 48 40   4.92  0.1725     93.6  1324.4   876.1  1025.5   2275.4    37.8	4
2001 237  21 49 52   4.94  0.1539     84.4  3046.5  1167.6  1793.9   3291.2    36.5	4
2001 237  21 51  8   4.96  0.2092    105.9   975.0   690.1   785.1   2116.1    34.3	4
2001 237  21 52  9   4.98  0.1901    115.0   395.0   407.5   403.3   1708.4    29.2	4
2001 242  15 35 34   4.79  0.0048    212.1  3599.8  2727.0  3017.9   8354.6    35.5	1
2001 242  15 36 30   4.80  0.1287     82.4   349.1   419.6   396.1   1166.5    37.4	1
2001 242  15 37 26   4.81  0.1810     75.0   222.3   371.0   321.4    952.7    38.9	1
2001 242  15 38 23   4.82  0.2394     71.4    95.0   275.6   215.4    748.6    37.4	1
2001 242  15 39 19   4.84  0.2570     72.8    64.7   296.9   219.5    770.8    38.2	1
2001 242  16 50 32   5.08  0.1735     37.8   118.5   146.4   137.1    325.5    41.0	3
2001 242  16 51 28   5.10  0.1910     35.5    83.8   174.2   144.0    323.1    46.6	3
2001 242  16 52 24   5.11  0.1652     44.4   191.6   193.9   193.1    464.6    42.6	3
2001 242  16 53 20   5.13  0.1061     47.3   257.9   192.5   214.3    513.4    37.4	3
2001 242  16 54 17   5.14  0.1957     46.0   122.4   242.1   202.2    493.0    43.7	3
2001 242  15 32 31   4.52  0.5234     83.4   123.5   170.1   154.6    812.4    27.1	4
2001 242  15 33 27   4.53  0.5017     83.5   111.3   438.8   329.6   1077.0    39.3	4
2001 242  15 34 23   4.55  0.3957     65.1   138.8   227.0   197.6    650.1    36.2	4
2001 242  15 35 19   4.56  0.2471     61.9   257.6   248.3   251.4    697.2    36.6	4
2001 242  15 36 15   4.57  0.2755     59.8   105.1   182.1   156.4    533.6    35.2	4
2001 247  10 44 35   5.46  0.0217    143.9  2510.3  1872.8  2085.3   4963.9    37.5	1
2001 247  10 45 31   5.48  0.0292    106.9   967.7  1186.3  1113.4   2662.6    42.2	1
2001 247  10 46 27   5.49  0.0509    102.6   778.0   843.4   821.6   2111.3    39.2	1
2001 247  10 47 24   5.51  0.0565    102.2   815.9   590.0   665.3   1870.3    33.8	1
2001 247  10 48 20   5.52  0.0634    105.4   716.5   562.9   614.1   1847.8    33.4	1
2001 247  10 49 16   5.54  0.0402    111.4   684.6   651.5   662.5   2031.7    34.7	1
2001 247  11 11 32   5.11  0.0861    110.7   889.6   644.6   726.3   2130.0    33.2	3
2001 247  11 12 28   5.12  0.0728    116.2  1125.7   899.0   974.6   2596.6    35.1	3
2001 247  11 13 24   5.14  0.0723    109.7  1118.6   729.0   858.9   2303.3    33.1	3
2001 247  11 14 21   5.15  0.0553    111.4  1200.3   831.5   954.4   2487.3    33.7	3
2001 247  11 15 17   5.17  0.0508    112.5  1241.7   570.6   794.3   2258.6    29.3	3
2001 247  10 42 30   5.26  0.0482    120.6  1109.5   758.0   875.2   2529.9    32.9	4
2001 247  10 43 26   5.28  0.0489    123.8  1125.4   714.6   851.5   2562.4    31.6	4
2001 247  10 44 22   5.30  0.0390    142.8  1101.1   787.8   892.2   3043.3    30.2	4
2001 247  10 45 18   5.31  0.0328    137.6  1040.2   857.9   918.7   2968.4    32.3	4
2001 247  10 46 14   5.33  0.0261    118.1  1264.3   632.7   843.3   2438.3    30.6	4
2001 247   7  0 17   5.24  0.2546     51.0   408.1   235.3   292.9    656.7    37.0	1
2001 247   7  0 45   5.23  0.2147     49.2   289.7   222.2   244.7    568.9    38.4	1
2001 247   7  1 14   5.22  0.2456     50.0   383.2   282.4   316.0    683.7    39.2	1
2001 247   7  2 20   5.21  0.1356     58.4  1092.4   604.7   767.3   1439.7    40.5	1
2001 247   7  3 16   5.20  0.0783     44.4   824.6   615.3   685.0   1197.5    44.2	1
2001 247   7 39 30   5.27  0.1936     78.0   673.9   703.2   693.4   1550.0    41.4	3
2001 247   7 40 26   5.26  0.1832     65.7   603.6   822.6   749.6   1485.3    48.3	3
2001 247   7 41 22   5.24  0.1567     77.1   962.7  1199.4  1120.5   2185.9    48.1	3
2001 247   7 42 19   5.23  0.1655     69.0  1084.5  1060.5  1068.5   2004.2    46.7	3
2001 247   7 43 15   5.21  0.1748     75.5  1182.1   933.6  1016.5   2003.3    43.0	3
2001 247   7  7 30   5.02  0.2307     15.2   381.5   324.2   343.3    537.7    51.7	4
2001 247   7  8 34   5.01  0.1777     11.1   630.9   496.3   541.1    823.3    51.6	4
2001 247   7  9 43   4.99  0.1644     11.5   528.4   570.0   556.1    848.3    55.8	4
2001 247   7 10 51   4.97  0.1362     15.6   914.8   702.1   773.0   1182.0    51.2	4
2001 252   5 19 30   5.77  0.0628     31.8   137.1    62.3    87.2    216.4    32.6	1
