Start of Prestorm	Storm Onset		Min Dst Time		End Fast Recovery	End Early Recovery 	End long Recovery	MinDst
2001-03-04/10:30:00	2001-03-04/18:00:00	2001-03-05/01:50:00	2001-03-05/05:20:00	2001-03-05/13:05:00	2001-03-05/19:15:00	-72
2001-03-19/11:24:00	2001-03-19/11:50:00	2001-03-19/21:00:00	2001-03-20/01:10:00	2001-03-20/01:10:00	2001-03-20/01:10:00	-105
2001-03-20/01:15:00	2001-03-20/01:15:00	2001-03-20/12:40:00	2001-03-21/02:00:00	2001-03-21/20:00:00	2001-03-22/13:40:00	-151
2001-03-22/14:00:00	2001-03-22/14:30:00	2001-03-23/16:00:00	2001-03-23/19:00:00	2001-03-24/09:20:00	2001-03-26/09:00:00	-73
2001-03-27/17:55:00	2001-03-27/18:30:00	2001-03-28/01:30:00	2001-03-28/04:10:00	2001-03-28/11:00:00	2001-03-28/11:00:00	-57
2001-03-28/11:00:00	2001-03-28/11:00:00	2001-03-28/14:30:00	2001-03-28/17:00:00	2001-03-28/20:50:00	2001-03-28/20:50:00	-89
2001-03-31/01:04:00	2001-03-31/03:00:00	2001-03-31/08:00:00	2001-03-31/15:00:00 	2001-04-01/13:30:00	2001-04-04/10:10:00	-368
2001-04-08/11:07:00	2001-04-08/12:40:00	2001-04-08/15:00:00	2001-04-08/16:05:00	2001-04-10/20:20:00	2001-04-11/13:52:00	-60
2001-04-11/13:52:00	2001-04-11/15:00:00	2001-04-11/23:00:00	2001-04-12/06:00:00	2001-04-12/19:20:00	2001-04-13/07:44:00	-269
2001-04-13/07:44:00	2001-04-13/10:00:00	2001-04-13/15:00:00	2001-04-13/17:50:00	2001-04-15/17:00:00	2001-04-14/06:55:00	-74
2001-04-18/01:00:00	2001-04-18/01:00:00	2001-04-18/06:00:00	2001-04-18/10:20:00	2001-04-19/07:40:00	2001-04-21/08:20:00	-113
2001-04-21/16:00:00	2001-04-21/22:00:00	2001-04-22/15:00:00	2001-04-22/18:00:00	2001-04-23/20:00:00	2001-04-25/16:00:00	-100
2001-04-28/05:00:00	2001-04-28/07:50:00	2001-04-29/03:00:00	2001-04-29/09:40:00	2001-04-29/09:40:00	2001-04-30/20:00:00	-50
2001-05-09/10:05:00	2001-05-09/12:00:00	2001-05-10/01:00:00	2001-05-10/04:20:00	2001-05-10/13:30:00	2001-05-10/13:30:00	-78
2001-06-18/03:00:00	2001-06-18/03:00:00	2001-06-18/08:00:00	2001-06-18/12:20:00	2001-06-19/10:40:00	2001-06-19/16:40:00	-60
2001-08-17/11:08:40	2001-08-17/11:40:00	2001-08-17/20:30:00	2001-08-17/22:30:00	2001-08-18/17:30:00	2001-08-19/10:40:00	-100
2001-09-11/14:30:00	2001-09-11/14:30:00	2001-09-13/06:52:00	2001-09-13/09:00:00	2001-09-13/22:16:00	2001-09-14/00:00:00	-60
2001-09-23/06:30:00	2001-09-23/09:00:00	2001-09-23/18:30:00 	2001-09-23/23:20:00	2001-09-24/17:32:00	2001-09-25/20:30:00	-74
2001-09-25/20:30:00	2001-09-25/20:30:00	2001-09-26/01:00:00	2001-09-26/05:00:00	2001-09-27/00:00:00	2001-09-27/00:00:00	-100
2001-09-30/19:28:00 	2001-09-30/22:00:00	2001-10-01/08:00:00	2001-10-01/10:20:00	2001-10-02/23:30:00	2001-10-02/23:30:00	-147
2001-10-02/23:30:00	2001-10-03/06:00:00	2001-10-03/14:00:00	2001-10-03/20:40:00	2001-10-04/16:00:00	2001-10-05/14:30:00	-164
2001-10-08/06:50:00	2001-10-08/06:50:00	2001-10-09/15:00:00	2001-10-09/17:10:00	2001-10-11/09:40:00	2001-10-11/17:06:27	-63
2001-10-11/17:00:00	2001-10-11/17:00:00	2001-10-12/12:00:00	2001-10-12/14:00:00	2001-10-14/00:10:00	2001-10-15/21:40:00	-71
2001-10-19/05:54:00	2001-10-19/10:30:00	2001-10-19/20:30:00	2001-10-20/03:40:00 	2001-10-20/04:00:00	2001-10-21/16:53:00	-57
2001-10-21/16:53:00	2001-10-21/17:00:00	2001-10-21/21:00:00	2001-10-22/09:00:00	2001-10-24/01:50:00	2001-10-24/05:00:00	-187
2001-10-28/03:25:00	2001-10-28/03:25:00	2001-10-28/11:00:00	2001-10-28/19:40:00	2001-10-30/00:00:00	2001-10-31/04:00:00	-155
2001-10-31/13:49:00	2001-10-31/14:10:00	2001-11-01/10:30:00	2001-11-01/13:40:00 	2001-11-02/11:00:00	2001-11-04/02:00:00	-105
2001-11-05/09:30:00	2001-11-05/18:00:00	2001-11-06/05:40:00	2001-11-07/13:50:00	2001-11-07/18:30:00	2001-11-09/03:30:00	-295
2001-11-24/04:00:00	2001-11-24/06:00:00	2001-11-24/16:00:00	2001-11-25/06:00:00	2001-11-26/07:10:00	2001-11-28/09:00:00	-228
2001-12-21/11:30:00	2001-12-21/17:45:00	2001-12-21/22:10:00	2001-12-22/03:40:00	2001-12-22/18:30:00	2001-12-23/23:30:00	-65
2001-12-23/23:28:30	2001-12-24/00:00:00	2001-12-24/10:00:00	2001-12-24/12:40:00	2001-12-25/13:40:00	2001-12-25/17:00:00	-64
2001-12-29/05:42:00	2001-12-29/22:50:00	2001-12-30/05:05:00	2001-12-30/20:30:00	2001-12-30/17:50:00	2001-12-30/20:16:20	-58
