Start Time		End Time 		Reason
2001-03-05/08:00:00	2001-03-05/10:00:00	sheath
2001-03-29/03:00:00	2001-03-29/08:00:00	bad data
2001-03-28/22:00:00	2001-03-28/23:30:00	radiation belt
2001-03-31/06:00:00	2001-03-31/12:00:00	super storm
2001-06-19/13:44:45	2001-06-19/13:49:45	bad data
2001-07-31/10:28:00	2001-07-31/10:28:02	wrong data
2001-08-03/10:48:00	2001-08-03/11:05:00	strange data
2001-08-24/13:55:00	2001-08-24/14:05:00	strange identification
2001-08-24/16:25:00	2001-08-24/16:50:00	strange identification
2001-10-30/21:34:29	2001-10-30/21:39:29	wrong data
2001-11-15/17:00:00	2001-11-16/00:00:00	sheath
2001-12-10/12:00:00	2001-12-10/23:00:00
2001-12-30/10:00:00	2001-12-30/14:00:00	sheath low mode
2002-01-01/12:00:00	2002-01-01/13:20:00	sheath
2002-01-08/12:00:00	2002-01-08/13:00:00	radiation belt
2002-01-11/03:30:00	2002-01-11/08:00:00	sheath
2002-01-18/06:00:00	2002-01-18/10:00:00	sheath
2002-01-18/19:00:00	2002-01-18/21:00:00	sheath
2002-01-22/18:00:00	2002-01-22/20:00:00	radiation belt
2002-01-25/02:00:00	2002-01-25/04:00:00	radiation belt
2002-03-06/13:00:00	2002-03-06/13:25:00 	radiation belt
2002-03-11/06:20:00	2002-03-11/07:00:00	radiation belt
2002-03-20/20:00:00	2002-03-20/20:40:00
2002-03-25/04:00:00	2002-03-25/06:00:00
2002-03-30/07:00:00	2002-03-30/08:50:00
2002-04-13/15:00:00	2002-04-13/15:30:00
2002-05-12/02:30:00	2002-05-12/03:00:00
2002-07-19/15:07:00	2002-07-19/15:08:00
2002-09-28/00:22:30	2002-09-28/00:22:40	wrong data
2002-09-28/20:00:00	2002-09-28/22:00:00	wrong data
2003-05-10/17:40:00	2003-05-10/17:40:00	region between magnetosheath and magnetoshere
2003-10-29/00:00:00	2003-10-29/06:00:00	region between magnetosheath and magnetoshere
2005-01-17/00:00:00	2005-01-19/00:00:00	does not look right
